epoch,HR,NDCG,data_name,model_name
1,0.52218543,0.291223793,ml-1m,gmf
2,0.570198675,0.31872637,ml-1m,gmf
3,0.594205298,0.337048119,ml-1m,gmf
4,0.613410596,0.348414843,ml-1m,gmf
5,0.61986755,0.354185578,ml-1m,gmf
6,0.625662252,0.358101059,ml-1m,gmf
7,0.630298013,0.358797717,ml-1m,gmf
8,0.631788079,0.36281869,ml-1m,gmf
9,0.633609272,0.363011952,ml-1m,gmf
10,0.636092715,0.36354815,ml-1m,gmf
1,0.66192053,0.386949166,ml-1m,neumf_pre
2,0.662417219,0.386220766,ml-1m,neumf_pre
3,0.661754967,0.385547751,ml-1m,neumf_pre
4,0.661423841,0.385732804,ml-1m,neumf_pre
5,0.66192053,0.386003324,ml-1m,neumf_pre
6,0.662417219,0.385923113,ml-1m,neumf_pre
7,0.661754967,0.385809337,ml-1m,neumf_pre
8,0.662251656,0.385728624,ml-1m,neumf_pre
9,0.66192053,0.385583891,ml-1m,neumf_pre
10,0.66192053,0.385522245,ml-1m,neumf_pre
1,0.75780528,0.444541169,pinterest-20,gmf
2,0.827586207,0.497487947,pinterest-20,gmf
3,0.838095928,0.507506811,pinterest-20,gmf
4,0.842789063,0.512837471,pinterest-20,gmf
5,0.844963488,0.515860586,pinterest-20,gmf
6,0.846086941,0.516017376,pinterest-20,gmf
7,0.84686611,0.517002776,pinterest-20,gmf
8,0.847300995,0.519010022,pinterest-20,gmf
9,0.847917082,0.519129345,pinterest-20,gmf
10,0.847536558,0.52095548,pinterest-20,gmf
1,0.863554823,0.536340526,pinterest-20,neumf_pre
2,0.862666932,0.535763967,pinterest-20,neumf_pre
3,0.862195807,0.535487557,pinterest-20,neumf_pre
4,0.861905884,0.535128415,pinterest-20,neumf_pre
5,0.861851523,0.53513743,pinterest-20,neumf_pre
6,0.861434758,0.534984032,pinterest-20,neumf_pre
7,0.861017993,0.534784863,pinterest-20,neumf_pre
8,0.860818671,0.534508639,pinterest-20,neumf_pre
9,0.861090474,0.534739321,pinterest-20,neumf_pre
10,0.860927392,0.534515257,pinterest-20,neumf_pre
