batch_size,lr,factor,HR,NDCG
128,0.0001,8,0.4649006622516556,0.2617680124619066
128,0.0001,16,0.4821192052980132,0.27053851967175957
128,0.0001,32,0.5440397350993378,0.3009461798647148
128,0.0001,64,0.5725165562913908,0.3213699749193181
128,0.0005,8,0.605794701986755,0.34100413340762437
128,0.0005,16,0.6413907284768212,0.3685433669695234
128,0.0005,32,0.6644039735099337,0.39037294319830923
128,0.0005,64,0.6809602649006623,0.4014736379940135
128,0.001,8,0.6311258278145695,0.35964998623737515
128,0.001,16,0.6627483443708609,0.3897915757793577
128,0.001,32,0.6763245033112583,0.39781360411697836
128,0.001,64,0.6862582781456954,0.4059363080126646
128,0.005,8,0.6350993377483444,0.3622692844219454
128,0.005,16,0.6685430463576159,0.39006223012972363
128,0.005,32,0.6822847682119205,0.40594027415043793
128,0.005,64,0.6756622516556291,0.3990490320587428
256,0.0001,8,0.4629139072847682,0.2597477664990443
256,0.0001,16,0.4653973509933775,0.2602705637027964
256,0.0001,32,0.4821192052980132,0.27018053838589934
256,0.0001,64,0.5337748344370861,0.29751344066818436
256,0.0005,8,0.5961920529801324,0.33837249645946466
256,0.0005,16,0.633112582781457,0.3596472687986198
256,0.0005,32,0.6639072847682119,0.387012092840896
256,0.0005,64,0.6839403973509933,0.40228474115161705
256,0.001,8,0.6372516556291391,0.3652359807143822
256,0.001,16,0.6649006622516557,0.3905191641491286
256,0.001,32,0.6907284768211921,0.4080101049730744
256,0.001,64,0.6923841059602649,0.4128126613553778
256,0.005,8,0.6399006622516556,0.3678757813779148
256,0.005,16,0.6733443708609271,0.3982483993311647
256,0.005,32,0.6844370860927153,0.40906703100596353
256,0.005,64,0.6822847682119205,0.40522029661287307
512,0.0001,8,0.46357615894039733,0.26020496534603915
512,0.0001,16,0.4629139072847682,0.259672948400858
512,0.0001,32,0.46771523178807944,0.26278875050382056
512,0.0001,64,0.4821192052980132,0.27143377644499045
512,0.0005,8,0.570364238410596,0.3189823292149243
512,0.0005,16,0.6122516556291391,0.3479098641003871
512,0.0005,32,0.6521523178807948,0.37783798021230125
512,0.0005,64,0.6753311258278145,0.3955557210880606
512,0.001,8,0.635430463576159,0.35903045556351604
512,0.001,16,0.6574503311258278,0.3828356913119874
512,0.001,32,0.679635761589404,0.4016402454896244
512,0.001,64,0.6971854304635762,0.41378784674234453
512,0.005,8,0.6321192052980132,0.36238904390729465
512,0.005,16,0.6798013245033112,0.39842809511862637
512,0.005,32,0.6852649006622517,0.4092894375167534
512,0.005,64,0.6809602649006623,0.40512751811833914
1024,0.0001,8,0.4607615894039735,0.25848857962026367
1024,0.0001,16,0.4632450331125828,0.25973151306519016
1024,0.0001,32,0.46274834437086093,0.25939512495736455
1024,0.0001,64,0.4650662251655629,0.2613001213879984
1024,0.0005,8,0.5021523178807947,0.2784409544099233
1024,0.0005,16,0.5672185430463577,0.3174023401232909
1024,0.0005,32,0.6076158940397351,0.34628110757070996
1024,0.0005,64,0.6490066225165563,0.3728960126144233
1024,0.001,8,0.6061258278145696,0.34040408938323763
1024,0.001,16,0.6458609271523179,0.37448059361162417
1024,0.001,32,0.675,0.39587052269554346
1024,0.001,64,0.6940397350993377,0.41507127956272627
1024,0.005,8,0.6384105960264901,0.3653020137718585
1024,0.005,16,0.6728476821192053,0.39385301333440914
1024,0.005,32,0.6887417218543046,0.4058711851005033
1024,0.005,64,0.6809602649006623,0.4003808510095166
