batch_size,lr,factor,HR,NDCG
1024,0.005,8,0.5711920529801324,0.3218119472408673
1024,0.005,16,0.6198675496688741,0.35162673816380147
1024,0.005,32,0.6486754966887417,0.3763129481023293
1024,0.005,64,0.6609271523178808,0.38111848086505284
1024,0.005,8,0.6163907284768212,0.34888402489878073
1024,0.005,16,0.6551324503311259,0.37776103058912364
1024,0.005,32,0.6569536423841059,0.38366611352744084
1024,0.005,64,0.6644039735099337,0.3887408555044631
1024,0.005,8,0.6533112582781457,0.37914317296061906
1024,0.005,16,0.6673841059602649,0.3862584523797385
1024,0.005,32,0.6698675496688742,0.39444913391765224
1024,0.005,64,0.6763245033112583,0.4010261551903438
1024,0.005,8,0.5266556291390728,0.29396998955146497
1024,0.005,16,0.5852649006622517,0.3315446762073482
1024,0.005,32,0.6271523178807947,0.3594925467734009
1024,0.005,64,0.6614238410596026,0.3886737423391756
