Epoch,HR,NDCG
0,0.4478,0.2501
1,0.4836,0.2688
2,0.5187,0.2881
3,0.5646,0.3178
4,0.5947,0.3402
5,0.6156,0.3519
6,0.6252,0.3615
7,0.6301,0.3637
8,0.6328,0.363
9,0.6334,0.3635
10,0.6397,0.3676
11,0.6386,0.3678
12,0.6379,0.3668
13,0.6379,0.3686
14,0.6404,0.3689
15,0.6397,0.3691
16,0.6392,0.369
17,0.6402,0.3705
18,0.6421,0.3698
19,0.6409,0.3693
20,0.6412,0.3694
21,0.6435,0.3689
22,0.6417,0.3687
23,0.6414,0.3672
24,0.6419,0.3703
25,0.6432,0.3707
26,0.6404,0.3694
27,0.6411,0.3691
28,0.6411,0.37
29,0.6435,0.3687
30,0.6417,0.3694
31,0.6417,0.37
32,0.6429,0.3693
33,0.646,0.3716
34,0.6444,0.3707
35,0.6432,0.3714
36,0.6401,0.3693
37,0.6404,0.3692
38,0.6424,0.3697
39,0.6421,0.37
40,0.6368,0.3683
41,0.6411,0.369
42,0.6414,0.3697
43,0.6401,0.3698
44,0.6417,0.3696
45,0.6406,0.3692
46,0.6442,0.3708
47,0.6424,0.3711
48,0.6399,0.3688
49,0.6447,0.3711
50,0.6399,0.3695
51,0.6414,0.3692
52,0.6409,0.3707
53,0.6444,0.3711
54,0.6421,0.37
55,0.6427,0.3705
56,0.6411,0.3705
57,0.6445,0.3697
58,0.6411,0.3688
59,0.6422,0.3698
60,0.6422,0.3699
61,0.6402,0.3685
62,0.6429,0.3694
63,0.6399,0.3677
64,0.6417,0.3711
65,0.6435,0.3705
66,0.6422,0.3702
67,0.6425,0.3697
68,0.643,0.3715
69,0.6416,0.3712
70,0.6399,0.3715
71,0.6399,0.37
72,0.6384,0.3693
73,0.6416,0.3682
74,0.6392,0.3702
75,0.6399,0.3689
76,0.643,0.3696
77,0.6406,0.3702
78,0.6454,0.3741
79,0.6442,0.3717
80,0.6386,0.3691
81,0.6397,0.3682
82,0.6411,0.37
83,0.6397,0.3692
84,0.6419,0.3705
85,0.6435,0.3687
86,0.6387,0.37
87,0.6429,0.3693
88,0.6363,0.3692
89,0.6432,0.3722
90,0.6402,0.3694
91,0.6374,0.3686
92,0.6376,0.3685
93,0.6391,0.3704
94,0.6381,0.3687
95,0.6399,0.3703
96,0.6414,0.3695
97,0.6382,0.3679
98,0.6391,0.3696
99,0.6376,0.3702
