,ml-1m_GMF
0,0.2662758160408291
1,0.3050623736666706
2,0.3276984174817288
3,0.34010579092723925
4,0.3486132822719622
5,0.35226402300049103
6,0.3498034251414952
7,0.3540597974350559
8,0.3541595904578491
9,0.35539385464983186
10,0.35646936866315726
11,0.35760091630700525
12,0.35713086553719825
13,0.3568519077724033
14,0.3578990760808572
15,0.3574269990361153
16,0.357000808186901
17,0.35762972835331014
18,0.3560432572330094
19,0.3589036190477514
20,0.3600302788010616
21,0.358144015363313
22,0.35676371474255825
23,0.35966761654410917
24,0.3594633561245201
25,0.3613120690086387
26,0.35989732839731586
27,0.36140353658939944
28,0.3613894320857759
29,0.3599869322159883
