,ml-1m_MLP
0,0.46142384105960266
1,0.5018211920529801
2,0.5254966887417218
3,0.5420529801324503
4,0.5544701986754967
5,0.5594370860927153
6,0.5640728476821192
7,0.5675496688741721
8,0.5672185430463577
9,0.5756622516556291
10,0.579635761589404
11,0.573841059602649
12,0.5789735099337748
13,0.5778145695364238
14,0.5826158940397351
15,0.5837748344370861
16,0.5842715231788079
17,0.5859271523178808
18,0.580794701986755
19,0.5877483443708609
20,0.5880794701986755
21,0.5847682119205299
22,0.5854304635761589
23,0.5872516556291391
24,0.5855960264900663
25,0.5811258278145696
26,0.5806291390728476
27,0.5857615894039735
28,0.5875827814569536
29,0.5885761589403974
