,ml-1m_MLP
0,0.2448351286843965
1,0.24585537363390778
2,0.24621446901148275
3,0.24644749731075816
4,0.24521033799654032
5,0.24609917769503145
6,0.24674708862170555
7,0.2476732711853481
8,0.24723590877184906
9,0.24754990313442346
10,0.24682741883374051
11,0.247922090519409
12,0.24821295962632167
13,0.24785285413181027
14,0.24802813192537204
15,0.24832511026053583
16,0.24808665567058766
17,0.24871143001325266
18,0.24838965168528548
19,0.24759214059446027
20,0.2480456604726582
21,0.24822916321116614
22,0.2483361440998769
23,0.2483986754142366
24,0.2482191686978425
25,0.24814594076876256
26,0.24858622237450426
27,0.24759214677064217
28,0.24796111263199624
29,0.24767583505101398
