,ml-1m_Neu_MF
0,0.5842715231788079
1,0.6124172185430463
2,0.6288079470198675
3,0.6399006622516556
4,0.6458609271523179
5,0.6503311258278146
6,0.6478476821192053
7,0.6524834437086092
8,0.6574503311258278
9,0.661092715231788
10,0.6572847682119205
11,0.6566225165562913
12,0.6531456953642384
13,0.6544701986754967
14,0.6577814569536424
15,0.654635761589404
16,0.6562913907284769
17,0.6584437086092715
18,0.6495033112582781
19,0.6571192052980133
20,0.6559602649006623
21,0.6496688741721854
22,0.6518211920529802
23,0.6478476821192053
24,0.6495033112582781
25,0.6490066225165563
26,0.6496688741721854
27,0.6443708609271523
28,0.6468543046357615
29,0.6422185430463576
