,ml-1m_Neu_MF
0,0.3265823839749584
1,0.3526679980031468
2,0.3630287520465084
3,0.36992420159159767
4,0.37471381446557944
5,0.38054727175653663
6,0.380636464841746
7,0.3829828233812594
8,0.38608477116591516
9,0.3859338830166617
10,0.3870277107684344
11,0.38512522664646137
12,0.3832081982862747
13,0.3829593719535108
14,0.38687869599453517
15,0.38188789557190217
16,0.3858570327090065
17,0.3873021835528849
18,0.38042118756167925
19,0.38447315523483994
20,0.38317233650471316
21,0.37966137673999073
22,0.38094462605062024
23,0.3783974368732407
24,0.3787659628147207
25,0.3771036814299573
26,0.3779336838121671
27,0.37542171044519923
28,0.37626379124209414
29,0.3779154241979386
