Epoch,HR,NDCG
0,0.4475,0.2479
1,0.4475,0.2474
2,0.451,0.2512
3,0.4485,0.2499
4,0.447,0.2504
5,0.4513,0.2506
6,0.4497,0.2504
7,0.4487,0.2493
8,0.4488,0.2497
9,0.4505,0.2511
10,0.4523,0.2514
11,0.4503,0.2516
12,0.4517,0.2526
13,0.4502,0.2518
14,0.4517,0.2507
15,0.4503,0.2504
16,0.4523,0.2524
17,0.453,0.2524
18,0.4526,0.2524
19,0.452,0.2523
20,0.4531,0.2517
21,0.4525,0.2509
22,0.454,0.2513
23,0.454,0.2527
24,0.4515,0.2517
25,0.4536,0.2529
26,0.4531,0.2518
27,0.4503,0.2515
28,0.4513,0.2514
29,0.4497,0.25
30,0.4507,0.2518
31,0.4513,0.251
32,0.4518,0.2516
33,0.4513,0.2509
34,0.4508,0.2515
35,0.4545,0.2519
36,0.452,0.2516
37,0.4518,0.2512
38,0.4545,0.2527
39,0.4545,0.2525
40,0.452,0.2518
41,0.4512,0.2508
42,0.4528,0.2515
43,0.4513,0.2512
44,0.453,0.2524
45,0.4538,0.2521
46,0.4523,0.2531
47,0.452,0.2523
48,0.451,0.2516
49,0.4526,0.2516
50,0.4502,0.2512
51,0.4525,0.2518
52,0.4533,0.2524
53,0.4533,0.2516
54,0.4528,0.2513
55,0.4513,0.2511
56,0.4522,0.2515
57,0.4513,0.2511
58,0.4525,0.2527
59,0.4512,0.2518
60,0.4531,0.2522
61,0.4523,0.2508
62,0.4522,0.2514
63,0.4505,0.2505
64,0.451,0.251
65,0.4528,0.2517
66,0.4513,0.2507
67,0.4517,0.2514
68,0.4505,0.2509
69,0.4523,0.2513
70,0.4515,0.2513
71,0.4526,0.2517
72,0.452,0.2518
73,0.4531,0.252
74,0.4541,0.253
75,0.4526,0.2519
76,0.4505,0.2517
77,0.4522,0.2521
78,0.4525,0.2518
79,0.4517,0.2523
80,0.453,0.2516
81,0.45,0.2511
82,0.45,0.2525
83,0.4505,0.252
84,0.451,0.2517
85,0.4526,0.2515
86,0.4545,0.2524
87,0.4515,0.2502
88,0.4513,0.251
89,0.4528,0.2523
90,0.4513,0.2519
91,0.4512,0.252
92,0.4513,0.2514
93,0.452,0.2528
94,0.4531,0.2516
95,0.4513,0.2524
96,0.4525,0.2523
97,0.4538,0.2528
98,0.4531,0.2526
99,0.4522,0.2517
