Epoch,HR,NDCG
0,0.5526,0.3129
1,0.6068,0.3503
2,0.6444,0.3738
3,0.6568,0.3843
4,0.6722,0.3954
5,0.6775,0.4017
6,0.6831,0.4059
7,0.6886,0.4086
8,0.6884,0.41
9,0.6909,0.4104
10,0.6929,0.4141
11,0.6874,0.4105
12,0.6901,0.4118
13,0.6935,0.4147
14,0.6925,0.4144
15,0.6917,0.4143
16,0.6924,0.414
17,0.6934,0.4159
18,0.6954,0.4171
19,0.6921,0.4177
20,0.6947,0.4176
21,0.6925,0.4184
22,0.6909,0.4178
23,0.6911,0.4162
24,0.6939,0.4169
25,0.6838,0.4154
26,0.6884,0.4141
27,0.6854,0.4169
28,0.6914,0.4178
29,0.697,0.4207
30,0.6927,0.4189
31,0.6896,0.4179
32,0.6942,0.4182
33,0.6882,0.4163
34,0.6881,0.4161
35,0.6921,0.4172
36,0.6874,0.4149
37,0.6922,0.4176
38,0.6877,0.4153
39,0.6904,0.4177
40,0.6912,0.4197
41,0.6884,0.4182
42,0.6927,0.4171
43,0.6909,0.4193
44,0.6942,0.4212
45,0.6964,0.4187
46,0.6945,0.42
47,0.6929,0.4193
48,0.6947,0.4183
49,0.6945,0.4195
50,0.6937,0.4215
51,0.6955,0.422
52,0.697,0.4212
53,0.6881,0.4171
54,0.6912,0.4172
55,0.6897,0.4171
56,0.6906,0.4173
57,0.6894,0.4186
58,0.6917,0.4168
59,0.6954,0.4188
60,0.6911,0.418
61,0.6856,0.4167
62,0.6861,0.4173
63,0.6894,0.418
64,0.6877,0.4174
65,0.6887,0.4184
66,0.6914,0.4186
67,0.6897,0.4186
68,0.6902,0.4195
69,0.6844,0.4167
70,0.6884,0.4192
71,0.6866,0.4183
72,0.6873,0.418
73,0.6863,0.4186
74,0.6828,0.4164
75,0.6856,0.42
76,0.6863,0.4197
77,0.6859,0.4196
78,0.6884,0.4206
79,0.6879,0.4197
80,0.6856,0.4168
81,0.6833,0.4167
82,0.6859,0.4196
83,0.6858,0.4188
84,0.6854,0.4183
85,0.6876,0.4187
86,0.6887,0.4215
87,0.6882,0.4203
88,0.6881,0.4209
89,0.6891,0.4195
90,0.6892,0.4197
91,0.6879,0.4189
92,0.6902,0.421
93,0.6869,0.4183
94,0.6882,0.4185
95,0.6853,0.4185
96,0.6866,0.4181
97,0.6884,0.419
98,0.6881,0.4201
99,0.6866,0.4199
