Model,# Factor,Iteration,Train Loss,HR@10,NDCG@10
GMF,8,0,1800,0,0
GMF,8,1,1770.392538,0.60602649,0.34870518
GMF,8,2,1700.501238,0.630496689,0.363540797
GMF,8,3,1679.177947,0.634304636,0.367771493
GMF,8,4,1670.109276,0.637119205,0.373283984
GMF,8,5,1668.658362,0.643278146,0.380885878
GMF,8,6,1667.461979,0.646264901,0.380951043
GMF,8,7,1667.337051,0.64892053,0.383570942
GMF,8,8,1667.216724,0.650927152,0.385096722
GMF,8,9,1667.017638,0.650430464,0.384835859
GMF,8,10,1666.63427,0.651092715,0.385460403
GMF,8,11,1665.90072,0.649748344,0.386864502
GMF,8,12,1665.782068,0.649086093,0.386886062
GMF,8,13,1665.578324,0.650576159,0.386479519
GMF,8,14,1665.294643,0.650072848,0.388989322
GMF,8,15,1664.931514,0.650735099,0.389278344
GMF,8,16,1664.611453,0.649887417,0.389061617
GMF,8,17,1664.338214,0.648887417,0.38685806
GMF,8,18,1664.062065,0.647880795,0.385949293
GMF,8,19,1663.710615,0.645536424,0.383285217
GMF,8,20,1663.568734,0.644357616,0.382759828
GMF,8,21,1663.34113,0.644006623,0.381215346
GMF,8,22,1663.074887,0.645165563,0.380131783
GMF,8,23,1662.893885,0.645,0.376218379
GMF,8,24,1662.600775,0.645662252,0.375861083
GMF,8,25,1662.454643,0.647483444,0.375264342
GMF,8,26,1662.233946,0.647152318,0.37431659
GMF,8,27,1662.076424,0.648476821,0.37400953
GMF,8,28,1661.850183,0.647483444,0.37362018
GMF,8,29,1661.618199,0.648311258,0.372690887
GMF,8,30,1661.442483,0.648642384,0.372068895
GMF,8,31,1661.279917,0.649470199,0.37130961
GMF,8,32,1661.047405,0.649635762,0.371357275
GMF,8,33,1660.793562,0.649139073,0.370241544
GMF,8,34,1660.612895,0.648145695,0.367803826
GMF,8,35,1660.389598,0.648311258,0.367745298
GMF,8,36,1660.205228,0.648476821,0.367902669
GMF,8,37,1660.051346,0.648807947,0.367827737
GMF,8,38,1659.885484,0.648807947,0.367866866
GMF,8,39,1659.718669,0.648807947,0.367769075
GMF,8,40,1659.566218,0.648311258,0.367516191
GMF,8,41,1659.381895,0.648311258,0.36710537
GMF,8,42,1659.300606,0.64897351,0.367112972
GMF,8,43,1659.154905,0.649139073,0.366967585
GMF,8,44,1659.053027,0.649801325,0.367137088
GMF,8,45,1658.918059,0.651953642,0.367718921
GMF,8,46,1658.804984,0.652119205,0.367943489
GMF,8,47,1658.735485,0.652781457,0.368029797
GMF,8,48,1658.64567,0.653443709,0.36845397
GMF,8,49,1658.554023,0.653609272,0.368187209
GMF,8,50,1658.38139,0.653940397,0.368235922
MLP,8,0,1800,0,0
MLP,8,1,1778.66657,0.642715232,0.386353598
MLP,8,2,1667.418568,0.681291391,0.403194221
MLP,8,3,1664.210193,0.69205298,0.407860809
MLP,8,4,1663.141041,0.696688742,0.409265781
MLP,8,5,1662.364828,0.700827815,0.411034437
MLP,8,6,1661.62615,0.699668874,0.409864522
MLP,8,7,1661.012804,0.698013245,0.409537756
MLP,8,8,1660.470988,0.698344371,0.409161993
MLP,8,9,1660.010022,0.697019868,0.407637538
MLP,8,10,1659.638345,0.693708609,0.40726311
MLP,8,11,1659.33097,0.691390728,0.40531446
MLP,8,12,1659.078895,0.687748344,0.404299377
MLP,8,13,1658.842737,0.685264901,0.403689912
MLP,8,14,1658.6222,0.684437086,0.403098972
MLP,8,15,1658.425727,0.68013245,0.401096976
MLP,8,16,1658.214673,0.678476821,0.400239984
MLP,8,17,1658.038511,0.675827815,0.399344022
MLP,8,18,1657.857461,0.674834437,0.398339042
MLP,8,19,1657.66478,0.674006623,0.397848643
MLP,8,20,1657.501902,0.673344371,0.397993793
MLP,8,21,1657.318612,0.671854305,0.39654314
MLP,8,22,1657.158373,0.670695364,0.395879348
MLP,8,23,1657.001333,0.670529801,0.39635433
MLP,8,24,1656.859748,0.669536424,0.394664178
