Model,# Factor,Iteration,Train Loss,HR@10,NDCG@10
MLP,8,1,1693.501446,0.343543046,0.268137702
MLP,8,2,1682.961371,0.343377483,0.268166688
MLP,8,3,1682.961359,0.343377483,0.267985311
MLP,8,4,1682.961359,0.343543046,0.268230628
MLP,8,5,1682.961359,0.343377483,0.268359823
NCF,8,1,1696.494983,0.339403974,0.265010106
NCF,8,2,1682.962093,0.339238411,0.265684297
NCF,8,3,1682.961431,0.34089404,0.266740472
NCF,8,4,1682.961359,0.342549669,0.267520156
NCF,8,5,1682.961359,0.342384106,0.267867953
MLP,16,1,1690.165733,0.351655629,0.273832841
MLP,16,2,1682.961637,0.353476821,0.275198313
MLP,16,3,1682.961359,0.354139073,0.276200654
MLP,16,4,1682.961359,0.35281457,0.276353811
MLP,16,5,1678.983464,0.389072848,0.313633793
NCF,16,1,1688.632409,0.32384106,0.258389284
NCF,16,2,1682.961526,0.325496689,0.25927566
NCF,16,3,1682.961359,0.325662252,0.259352802
NCF,16,4,1682.961359,0.325165563,0.259554172
NCF,16,5,1682.961359,0.325662252,0.260032036
MLP,32,1,1685.345017,0.345033113,0.270657195
MLP,32,2,1682.96154,0.348013245,0.273404818
MLP,32,3,1682.961359,0.349172185,0.276531095
MLP,32,4,1680.023767,0.347847682,0.28689369
MLP,32,5,1677.468217,0.356622517,0.29429348
NCF,32,1,1680.991047,0.487086093,0.372565471
NCF,32,2,1667.568666,0.581788079,0.417564316
NCF,32,3,1661.087113,0.588245033,0.42248993
NCF,32,4,1658.047014,0.591887417,0.424706897
NCF,32,5,1655.555525,0.594370861,0.423141595
MLP,64,1,1675.741503,0.553476821,0.402266243
MLP,64,2,1664.367528,0.580298013,0.420461392
MLP,64,3,1659.644786,0.583278146,0.42366253
MLP,64,4,1655.862319,0.568543046,0.413855874
MLP,64,5,1652.357516,0.577152318,0.418680876
NCF,64,1,1681.141669,0.403145695,0.330210727
NCF,64,2,1672.405082,0.474006623,0.369081111
NCF,64,3,1668.673684,0.502317881,0.383835299
NCF,64,4,1665.499477,0.505960265,0.385892684
NCF,64,5,1662.605776,0.508278146,0.388477617
