Model,Iteration,Train Loss,HR@10,NDCG@10,# K
GMF,1,1845.53267,0.300993377,0.300993377,1
GMF,2,1673.636939,0.301655629,0.301655629,1
GMF,3,1664.882696,0.302649007,0.302649007,1
GMF,4,1663.326011,0.301986755,0.301986755,1
GMF,5,1662.863688,0.302152318,0.302152318,1
MLP,1,1795.529698,0.282781457,0.282781457,1
MLP,2,1667.332139,0.293211921,0.293211921,1
MLP,3,1663.810047,0.296854305,0.296854305,1
MLP,4,1662.393738,0.297682119,0.297682119,1
MLP,5,1661.493724,0.29718543,0.29718543,1
NCF,1,1772.929697,0.29205298,0.29205298,1
NCF,2,1666.939007,0.299337748,0.299337748,1
NCF,3,1663.533855,0.300662252,0.300662252,1
NCF,4,1662.218649,0.300827815,0.300827815,1
NCF,5,1661.249789,0.30115894,0.30115894,1
GMF,1,1847.895902,0.366059603,0.342473325,2
GMF,2,1673.46627,0.36589404,0.342124449,2
GMF,3,1664.682598,0.367384106,0.34324789,2
GMF,4,1663.122671,0.366556291,0.342725597,2
GMF,5,1662.684571,0.365728477,0.342142199,2
MLP,1,1777.43247,0.339900662,0.318269724,2
MLP,2,1666.655853,0.355298013,0.330795171,2
MLP,3,1663.571052,0.358774834,0.334149783,2
MLP,4,1662.334133,0.360596026,0.336337601,2
MLP,5,1661.300435,0.364569536,0.339577859,2
NCF,1,1787.222255,0.349834437,0.326736995,2
NCF,2,1667.176995,0.362251656,0.336710039,2
NCF,3,1663.87046,0.364072848,0.338836753,2
NCF,4,1662.463384,0.364900662,0.339970089,2
NCF,5,1661.435457,0.365397351,0.341566656,2
GMF,1,1845.534889,0.415066225,0.365926082,3
GMF,2,1673.560173,0.417218543,0.368052796,3
GMF,3,1664.82254,0.417549669,0.368200608,3
GMF,4,1663.26354,0.417384106,0.368070546,3
GMF,5,1662.823981,0.418874172,0.368740651,3
MLP,1,1778.740035,0.39486755,0.348920383,3
MLP,2,1666.676552,0.407615894,0.357947489,3
MLP,3,1663.545575,0.417880795,0.364654671,3
MLP,4,1662.410804,0.420198675,0.367120365,3
MLP,5,1661.468356,0.420198675,0.367889117,3
NCF,1,1773.189172,0.39089404,0.349409375,3
NCF,2,1666.511099,0.412748344,0.363460388,3
NCF,3,1663.409039,0.416390728,0.366286739,3
