,Model Type,Epoch,Hit Ratio,NDCG
0,gmf,0,0.4483,0.2502
1,gmf,0,0.4672,0.2594
2,gmf,0,0.5273,0.2952
14,gmf,1,0.5584,0.3149
13,gmf,1,0.505,0.2803
25,gmf,2,0.5462,0.3042
36,gmf,3,0.5738,0.3222
47,gmf,4,0.5874,0.3316
58,gmf,5,0.5935,0.3386
69,gmf,6,0.602,0.3393
80,gmf,7,0.605,0.3412
91,gmf,8,0.6094,0.3466
102,gmf,9,0.6132,0.3482
3,gmf,10,0.6141,0.3495
4,gmf,11,0.6167,0.35
5,gmf,12,0.6212,0.3535
6,gmf,13,0.6242,0.358
7,gmf,14,0.6272,0.3601
8,gmf,15,0.6306,0.3622
9,gmf,16,0.6339,0.3631
10,gmf,17,0.6377,0.367
310,gmf,18,0.6364,0.3651
11,gmf,18,0.6364,0.3651
12,gmf,19,0.6366,0.3665
15,gmf,20,0.6374,0.3658
16,gmf,21,0.6348,0.3646
17,gmf,22,0.6356,0.3633
18,gmf,23,0.6379,0.3654
19,gmf,24,0.6353,0.3655
20,gmf,25,0.6334,0.3662
21,gmf,26,0.6373,0.3671
22,gmf,27,0.6384,0.3656
23,gmf,28,0.6387,0.3691
24,gmf,29,0.6389,0.3662
26,gmf,30,0.6391,0.3652
27,gmf,31,0.6373,0.3672
28,gmf,32,0.6409,0.3683
29,gmf,33,0.6409,0.3673
30,gmf,34,0.6374,0.3661
31,gmf,35,0.6406,0.3689
32,gmf,36,0.6343,0.3671
33,gmf,37,0.6399,0.3676
34,gmf,38,0.6373,0.366
35,gmf,39,0.6366,0.3684
37,gmf,40,0.6354,0.3676
38,gmf,41,0.6364,0.3663
39,gmf,42,0.6386,0.3673
40,gmf,43,0.6416,0.368
41,gmf,44,0.6422,0.3685
42,gmf,45,0.6394,0.3673
43,gmf,46,0.6356,0.3666
44,gmf,47,0.6396,0.3699
45,gmf,48,0.6392,0.3662
46,gmf,49,0.6399,0.3677
48,gmf,50,0.6412,0.3667
49,gmf,51,0.6384,0.3666
50,gmf,52,0.6381,0.368
51,gmf,53,0.6435,0.3699
52,gmf,54,0.6425,0.3668
53,gmf,55,0.6361,0.3661
54,gmf,56,0.6371,0.3677
55,gmf,57,0.6397,0.3681
56,gmf,58,0.6368,0.3665
57,gmf,59,0.6399,0.3668
59,gmf,60,0.6416,0.3674
60,gmf,61,0.6394,0.3682
61,gmf,62,0.6411,0.367
62,gmf,63,0.6419,0.3673
63,gmf,64,0.6394,0.3669
64,gmf,65,0.6425,0.3677
65,gmf,66,0.6399,0.3676
66,gmf,67,0.6373,0.3662
67,gmf,68,0.6419,0.3681
68,gmf,69,0.6424,0.37
70,gmf,70,0.6404,0.3699
71,gmf,71,0.6414,0.3688
72,gmf,72,0.6406,0.3694
73,gmf,73,0.6406,0.3685
74,gmf,74,0.6366,0.3679
75,gmf,75,0.6391,0.3664
76,gmf,76,0.6409,0.3678
77,gmf,77,0.6379,0.3673
78,gmf,78,0.6396,0.3703
79,gmf,79,0.6379,0.3677
81,gmf,80,0.6386,0.3671
82,gmf,81,0.6358,0.3665
83,gmf,82,0.6387,0.3683
84,gmf,83,0.6409,0.3688
85,gmf,84,0.6371,0.3671
86,gmf,85,0.6401,0.367
87,gmf,86,0.6366,0.3674
88,gmf,87,0.6377,0.3667
89,gmf,88,0.6389,0.3695
90,gmf,89,0.6402,0.3696
92,gmf,90,0.6386,0.3671
93,gmf,91,0.6354,0.3679
94,gmf,92,0.6353,0.3664
95,gmf,93,0.6371,0.3666
96,gmf,94,0.6391,0.3678
97,gmf,95,0.6392,0.3685
98,gmf,96,0.6402,0.3666
99,gmf,97,0.6409,0.3679
100,gmf,98,0.6394,0.3679
101,gmf,99,0.6376,0.3684
